Titulo,Free Text
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Alemanha/Turíngia,[[Categoria:Origem/Alemanha]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Brasil/São Paulo,[[Categoria:Origem/Brasil]]
,
,
Categoria:Origem/França/Paris,[[Categoria:Origem/França]]
Categoria:Origem/México/Pré-Colombiano(?),[[Categoria:Origem/México]]
,
,
,
,
,
,
,
Categoria:Origem/Peru/Sucre,[[Categoria:Origem/Peru]]
Categoria:Origem/Peru/Sucre,[[Categoria:Origem/Peru]]
Categoria:Origem/Peru Pré-Colombiano/Costa Sul,[[Categoria:Origem/Peru Pré-Colombiano]]
,
,
,
Categoria:Origem/Alemanha/Plaue,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Plaue,[[Categoria:Origem/Alemanha]]
,
,
,
,
,
,
Categoria:Origem/Alemanha/Berlim,[[Categoria:Origem/Alemanha]]
,
,
,
,
Categoria:Origem/Peru/Vale do Nazca,[[Categoria:Origem/Peru]]
,
,
,
,
Categoria:Origem/Alemanha/Selb,[[Categoria:Origem/Alemanha]]
,
,
,
,
,
,
Categoria:Origem/França/Paris,[[Categoria:Origem/França]]
Categoria:Origem/França/Paris,[[Categoria:Origem/França]]
Categoria:Origem/Alemanha/Waldershof,[[Categoria:Origem/Alemanha]]
Categoria:Origem/Alemanha/Waldershof,[[Categoria:Origem/Alemanha]]
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/França/Limoges,[[Categoria:Origem/França]]
Categoria:Origem/França/Limoges,[[Categoria:Origem/França]]
Categoria:Origem/França/Limoges,[[Categoria:Origem/França]]
Categoria:Origem/França/Limoges,[[Categoria:Origem/França]]
,
,
,
Categoria:Origem/Estados Unidos/Stamford,[[Categoria:Origem/Estados Unidos]]
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/França/Paris,[[Categoria:Origem/França]]
Categoria:Origem/Estados Unidos/Denver,[[Categoria:Origem/Estados Unidos]]
Categoria:Origem/Brasil/Rio de Janeiro,[[Categoria:Origem/Brasil]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Origem/Portugal/Porto,[[Categoria:Origem/Portugal]]
Categoria:Origem/Inglaterra/Sheffield,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Londres,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Inglaterra/Londres,[[Categoria:Origem/Inglaterra]]
,
,
,
,
,
Categoria:Origem/Inglaterra/Birmingham,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Rússia/Moscou,[[Categoria:Origem/Rússia]]
Categoria:Origem/Inglaterra/Londres,[[Categoria:Origem/Inglaterra]]
Categoria:Origem/Portugal/Porto,[[Categoria:Origem/Portugal]]
Categoria:Origem/Portugal/Porto,[[Categoria:Origem/Portugal]]
Categoria:Origem/Portugal/Porto,[[Categoria:Origem/Portugal]]
,
,
,
,
,
Categoria:Origem/Alemanha/Ulm,[[Categoria:Origem/Alemanha]]
,
,
,
