"xícara de chá","M-0524"
"caixa com miniatura","M-0525"
"xícara","M-0526"
"recipiente","M-0527"
"xícara com tampa","M-0528"
"pombos da paz","M-0529"
"Xícara","M-0530"
"figura de santo (?)","M-0531"
"moldura de perfil de camarim de igreja","M-0532"
"xícara","M-0533"
"descanso para talher","M-0534"
"xícara","M-0535"
"bule de chá com réchaud (veilleuse)","M-0536"
"xícara","M-0537"
"travessa","M-0538"
"bule para chá com réchaud","M-0539"
"travessa","M-0540"
"fff moldura","M-0541"
"lenda etíope","M-0542"
"travessa","M-0543"
"copo","M-0544"
"copo","M-0545"
"copo","M-0546"
"copo","M-0547"
"taça","M-0548"
"taça","M-0549"
"taça","M-0550"
"copo","M-0551"
"jarra","M-0552"
"garrafa","M-0553"
"recipiente para saquê","M-0554"
"Recipiente para saquê","M-0555"
"conjunto de recipientes para servir carnes","M-0556"
"mesa de centro","M-0557"
"banqueta","M-0558"
"banqueta","M-0559"
"figura de ancião em paisagem miniatura","M-0560"
"sofá","M-0561"
"sous-plat","M-0562"
"prato para pão","M-0563"
"lavanda","M-0564"
"travessa para caviar","M-0565"
"carimbo","M-0566"
"bule","M-0567"
"molheira","M-0568"
"Molheira","M-0569"
"molheira","M-0570"
"molheira","M-0571"
"molheira","M-0572"
"recipiente","M-0573"
"saleiro","M-0574"
"saleiro","M-0575"
"recipiente","M-0576"
"travessa","M-0577"
"travessa ","M-0578"
"travessa","M-0579"
"travessa","M-0580"
"travessa","M-0581"
"travessa","M-0582"
"prato","M-0583"
"prato","M-0584"
"Prato","M-0585"
"prato","M-0586"
"prato","M-0587"
"prato","M-0588"
"FRagmento","M-0589"
"lacrimatório","M-0590"
"prato","M-0591"
"peça de FREIO de cavalgadura","M-0592"
"edan","M-0593"
"Prato","M-0594"
"buda (cabeça)","M-0595"
"Escrivaninha","M-0596"
"divindade feminina (?) ","M-0597"
"ponteira de bastão","M-0598"
"Figura feminina","M-0599"
"figura feminina","M-0600"
"vaso (aryballos)","M-0601"
"jarra (Oinochoe)","M-0602"
"taça (Kylix)","M-0603"
"vaso (Column krater)","M-0604"
"armário","M-0605"
"Recipiente","M-0606"
"recipiente","M-0607"
"recipiente","M-0608"
"cofre","M-0609"
"farinheira (Madia)","M-0610"
"travessa","M-0611"
"prato ""O julgamento de Salomão""","M-0612"
"prato ""Mucius Scaevola põe sua mão no fogo""","M-0613"
"tinteiro ou saleiro com três sátiros e figura de querubim","M-0614"
"cadeira","M-0615"
"cadeira","M-0616"
"relógio de mesa","M-0617"
"Ave mítica","M-0618"
"Ave Mítica","M-0619"
